id,code_prefix_start,name
py_acc_group_210101,2.1.01.01,"PROVEEDORES LOCALES"
py_acc_group_210102,2.1.01.02,"PROVEEDORES DEL EXTERIOR"
py_acc_group_210103,2.1.01.03,"INTERESES A PAGAR A PROVEEDORES"
py_acc_group_210104,2.1.01.04,"OTROS ACREEDORES"
py_acc_group_2102,2.1.02,"OTRAS CUENTAS POR PAGAR"
py_acc_group_210201,2.1.02.01,"DEUDAS FISCALES CORRIENTES"
py_acc_group_210202,2.1.02.02,"OBLIGACIONES LABORALES Y CARGAS SOCIALES"
py_acc_group_210203,2.1.02.03,"DIVIDENDOS A PAGAR"
py_acc_group_210204,2.1.02.04,"PASIVOS FIDUCIARIOS"
py_acc_group_2103,2.1.03,"DEUDAS FINANCIERAS"
py_acc_group_210301,2.1.03.01,"PRESTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS"
py_acc_group_210302,2.1.03.02,"PRESTAMOS DE DUEÑO, SOCIOS o ENTIDADES VINCALADAS"
py_acc_group_210303,2.1.03.03,"ARRENDAMIENTOS FINANCIEROS"
py_acc_group_210304,2.1.03.04,"OTROS PRESTAMOS A PAGAR"
py_acc_group_210305,2.1.03.05,"INTERES A PAGAR"
py_acc_group_2104,2.1.04,"PROVISIONES"
py_acc_group_210401,2.1.04.01,"OBLIGACIONES POR GARANTIAS OTORGADAS"
py_acc_group_210402,2.1.04.02,"OBLIGACIONES LEGALES POR LITIGIOS"
py_acc_group_210403,2.1.04.03,"PROVISION PARA BENEFICIOS A EMPLEADOS"
py_acc_group_2105,2.1.05,"INGRESOS DIFERIDOS"
py_acc_group_210501,2.1.05.01,"ANTICIPOS DE CLIENTES"
py_acc_group_210502,2.1.05.02,"SUBVENCIONES"
py_acc_group_210503,2.1.05.03,"DERECHOS DE FIDELIZACION DE CLIENTES"
py_acc_group_210504,2.1.05.04,"ALQUILERES COBRADOS POR ADELANTADO"
py_acc_group_22,2.2,"PASIVO NO CORRIENTE"
py_acc_group_2201,2.2.01,"ACRREDORES COMERCIALES A LARGO PLAZO"
py_acc_group_220101,2.2.01.01,"PROVEEDORES LOCALES"
py_acc_group_220102,2.2.01.02,"PROVEEDORES DEL EXTERIOR"
py_acc_group_220103,2.2.01.03,"INTERESES A PAGAR A PROVEEDORES"
py_acc_group_220104,2.2.01.04,"OTROS ACREEDORES"
py_acc_group_2202,2.2.02,"DEUDAS FINANCIERAS A LARGO PLAZO"
py_acc_group_220201,2.2.02.01,"PRESTAMOS DE BANCOS Y OTRAS ENTIDADES FINANCIERAS"
py_acc_group_220202,2.2.02.02,"PRESTAMOS DEL DUEÑO, SOCIOS O ENTIDADES VINCULADAS"
py_acc_group_220203,2.2.02.03,"ARRENDAMIENTOS FINANCIEROS"
py_acc_group_220204,2.2.02.04,"OTROS PRESTAMOS"
py_acc_group_220205,2.2.02.05,"INTERESES A PAGAR"
py_acc_group_2203,2.2.03,"OTRAS CUENTAS POR PAGAR"
py_acc_group_220301,2.2.03.01,"PASIVOS POR IMPUESTOS DIFERIDOS"
py_acc_group_220302,2.2.03.02,"PASIVOS FIDUCIARIOS"
py_acc_group_2204,2.2.04,"PROVISIONES PARA OBLIGACIONES A LARGO PLAZO"
py_acc_group_220401,2.2.04.01,"OBLIGACIONES POR GARANTIAS OTORGADAS"
py_acc_group_220402,2.2.04.02,"OBLIGACIONES LEGALES POR LITIGIOS PENDIENTES"
py_acc_group_220403,2.2.04.03,"PROVICIONES PARA BENEFICIOS A EMPLEADOS"
py_acc_group_2205,2.2.05,"INGRESOS DIFERIDOS A LARGO PLAZO"
py_acc_group_220501,2.2.05.01,"ANTICIPOS DE CLIENTES"
py_acc_group_220502,2.2.05.02,"SUBVENCIONES"
py_acc_group_220503,2.2.05.03,"DERECHOS DE FIDELIZACION DE CLIENTES"
py_acc_group_220504,2.2.05.04,"ALQUILERES COBRADOS POR ADELANTADO"
py_acc_group_3,3,"PATRIMONIO NETO"
py_acc_group_31,3.1,"CAPITAL"
py_acc_group_32,3.2,"RESERVAS"
py_acc_group_3201,3.2.01,"RESERVA LEGAL"
py_acc_group_3202,3.2.02,"RESERVA DE REVALUO"
py_acc_group_3203,3.2.03,"RESERVA DE REVALUO FISCAL"
py_acc_group_3204,3.2.04,"RESERVA DE REVALUO TECNICO"
py_acc_group_3205,3.2.05,"OTRAS RESERVAS"
py_acc_group_33,3.3,"RESULTADOS"
py_acc_group_3301,3.3.01,"RESULTADOS ACUMULADOS"
py_acc_group_3399,3.3.99,"RESULTADO DEL EJERCICIO"
py_acc_group_4,4,"INGRESOS"
py_acc_group_41,4.1,"INGRESOS OPERATIVOS"
py_acc_group_4101,4.1.01,"VENTAS DE MERCADERIAS"
py_acc_group_410101,4.1.01.01,"VENTAS DE MERCADERIAS GRAVADAS POR EL IVA"
py_acc_group_410102,4.1.01.02,"VENTAS DE MERCADERIAS EXENTAS"
py_acc_group_4102,4.1.02,"VENTAS DE PRODUCTOS AGRICOLAS"
py_acc_group_410201,4.1.02.01,"VENTAS DE SOJA Y SUS DERIVADOS"
py_acc_group_410202,4.1.02.02,"VENTAS DE MAIZ"
py_acc_group_410203,4.1.02.03,"VENTAS DE TRIGO"
py_acc_group_410204,4.1.02.04,"OTROS PRODUCTOS AGRICOLAS"
py_acc_group_4103,4.1.03,"VENTAS DE GANADO"
py_acc_group_4104,4.1.04,"VENTAS DE PRODUCTOS FRUTICOLAS Y HORTICOLAS"
py_acc_group_4105,4.1.05,"VENTAS DE PRODUCTOS DE LA EXPLOTACION FORESTAL"
py_acc_group_4106,4.1.06,"EXPORTACIONES DE PRODUCTOS AGRICOLAS"
py_acc_group_4107,4.1.07,"EXPORTACIONES DE BIENES INDUSTRIALIZADOS"
py_acc_group_4108,4.1.08,"EXPORTACIONES DE OTROS PRODUCTOS"
py_acc_group_4109,4.1.09,"VENTAS DE SERVICIOS"
py_acc_group_4110,4.1.10,"VENTA DE BIENES - REGIMENES ESPECIALES"
py_acc_group_411001,4.1.10.01,"VENTA DE MERCADERIAS - REGIMEN DE TURISMO"
py_acc_group_411002,4.1.10.02,"VENTAS DE MERCADERIAS - ZONA FRANCA"
py_acc_group_411003,4.1.10.03,"VENTAS POR REGIMEN DE MAQUILA"
py_acc_group_4111,4.1.11,"OTRAS VENTAS EXENTAS DEL IVA"
py_acc_group_4198,4.1.98,"(-) DESCUENTOS CONCEDIDOS"
py_acc_group_4199,4.1.99,"(-) DEVOLUCIONES"
py_acc_group_42,4.2,"OTROS INGRESOS"
py_acc_group_4201,4.2.01,"INTERESES GANADOS"
py_acc_group_4202,4.2.02,"COMISIONES COBRADAS"
py_acc_group_4203,4.2.03,"DESCUENTOS OBTENIDOS"
py_acc_group_4204,4.2.04,"SUBVENCIONES"
py_acc_group_4205,4.2.05,"RESULTADOS POR DIFERENCIA DE CAMBIO"
py_acc_group_5,5,"EGRESOS"
py_acc_group_51,5.1,"COSTOS OPERATIVOS"
py_acc_group_5101,5.1.01,"COSTO DE MERCADERIAS"
py_acc_group_510101,5.1.01.01,"COSTO DE MERCADERIAS GRAVADAS PRO EL IVA"
py_acc_group_510102,5.1.01.02,"COSTO DE MERCADERIAS EXENTAS DE IVA"
py_acc_group_5102,5.1.02,"COSTO DE PRODUCTOS AGRICOLAS"
py_acc_group_5103,5.1.03,"COSTO DE VENTA DE GANADO"
py_acc_group_5104,5.1.04,"COSTO DE VENTA DE PRODUCTOS FRUTICOLAS Y HORTICOLAS"
py_acc_group_5105,5.1.05,"COSTO DE VENTA DE PRODUCTOS DE LA EXPLOTACION FORESTAL"
py_acc_group_5106,5.1.06,"COSTO DE PRODUCTOS AGRICOLAS EXPORTADOS"
py_acc_group_5107,5.1.07,"COSTO DE BIENES INDUSTRIALIZADOS EXPORTADOS"
py_acc_group_5108,5.1.08,"COSTO DE OTROS PRODUCTOS EXPORTADOS"
py_acc_group_5109,5.1.09,"COSTO DE SERVICIOS GRAVADOS"
py_acc_group_5110,5.1.10,"COSTO DE VENTAS DE BIENES - REGIMENES ESPECIALES"
py_acc_group_511001,5.1.10.01,"COSTO DE VENTAS DE MERCADERIAS - REGIMENS DE TURISMO"
py_acc_group_511002,5.1.10.02,"COSTO DE VENTAS DE MERCADERIAS - ZONA FRANCA"
py_acc_group_511003,5.1.10.03,"COSTO DE VENTAS DE MERCADERIAS - REGIMEN DE MAQUILA"
py_acc_group_511004,5.1.10.04,"COSTO DE VENTAS BAJO OTROS REGIMENES ESPECIALES"
py_acc_group_52,5.2,"GASTOS DE VENTAS O COMERCIALIZACION"
py_acc_group_5201,5.2.01,"SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL"
py_acc_group_520101,5.2.01.01,"SUELDOS Y JORNALES"
py_acc_group_520102,5.2.01.02,"APORTE PATRONAL"
py_acc_group_520103,5.2.01.03,"OTROS BENEFICIOS AL PERSONAL"
py_acc_group_5202,5.2.02,"COMISIONES PAGADAS SOBRE VENTAS"
py_acc_group_5203,5.2.03,"VIATICOS A VENDEDORES"
py_acc_group_5204,5.2.04,"PUBLICIDAD Y PROPAGANDA"
py_acc_group_5205,5.2.05,"FLETES PAGADOS"
py_acc_group_5299,5.2.99,"OTROS GASTOS DE VENTAS"
py_acc_group_53,5.3,"GASTOS DE ADMINISTRACION"
py_acc_group_5301,5.3.01,"SUELDOS Y OTRAS REMUNERACIONES AL PERSONAL"
py_acc_group_530101,5.3.01.01,"SUELDOS Y JORNALES"
py_acc_group_530102,5.3.01.02,"APORTE PATRONAL"
py_acc_group_530103,5.3.01.03,"OTROS BENEFICIOS AL PERSONAL"
py_acc_group_5302,5.3.02,"REMUNERACION AL PERSONAL SUPERIOR"
py_acc_group_5303,5.3.03,"GASTOS DE REPRESENTACION"
py_acc_group_5304,5.3.04,"HONORARIOS PROFESIONALES"
py_acc_group_5305,5.3.05,"ALQUILERES"
py_acc_group_5306,5.3.06,"AGUA, LUZ, TELEFONO E INTERNET"
py_acc_group_5307,5.3.07,"MOVILIDAD"
py_acc_group_5308,5.3.08,"COMBUSTIBLES Y LUBRICANTES"
py_acc_group_5309,5.3.09,"REPARACIONES Y MANTENIMIENTOS"
py_acc_group_5310,5.3.10,"SEGUROS PAGADOS"
py_acc_group_5311,5.3.11,"UTILES DE OFICINA"
py_acc_group_5312,5.3.12,"GASTOS PAGADOS EN EL EXTERIOR"
py_acc_group_5313,5.3.13,"JUICIOS Y GASTOS JUDICIALES"
py_acc_group_5314,5.3.14,"GASTOS DE COBRANZAS"
py_acc_group_5315,5.3.15,"DONACIONES Y CONTRIBUCIONES"
py_acc_group_5316,5.3.16,"COMISIONES Y GASTOS BANCARIOS OPERACIONALES"
